iter	Passed	Remaining
629	3293	1934
630	3295	1927
631	3298	1920
632	3301	1913
633	3303	1907
634	3305	1900
635	3309	1894
636	3311	1887
637	3314	1880
638	3316	1873
639	3318	1866
640	3320	1859
641	3322	1852
642	3327	1847
643	3330	1841
644	3333	1834
645	3335	1827
646	3337	1820
647	3339	1813
648	3340	1806
649	3344	1801
650	3347	1794
651	3349	1787
652	3351	1781
653	3353	1774
654	3359	1769
655	3364	1764
656	3366	1757
657	3368	1750
658	3370	1744
659	3373	1737
660	3375	1731
661	3378	1725
662	3381	1719
663	3384	1712
664	3389	1707
665	3392	1701
666	3396	1695
667	3398	1689
668	3400	1682
669	3402	1675
670	3403	1668
671	3406	1662
672	3409	1656
673	3411	1650
674	3418	1645
675	3429	1643
676	3434	1638
677	3436	1632
678	3442	1627
679	3448	1623
680	3454	1618
681	3462	1614
682	3468	1609
683	3471	1603
684	3474	1597
685	3476	1591
686	3480	1585
687	3488	1581
688	3490	1575
689	3495	1570
690	3497	1564
691	3500	1558
692	3502	1551
693	3505	1545
694	3509	1540
695	3517	1536
696	3520	1530
697	3522	1523
698	3526	1518
699	3529	1512
700	3531	1506
701	3532	1499
702	3534	1493
703	3536	1486
704	3538	1480
705	3543	1475
706	3550	1471
707	3552	1465
708	3555	1459
709	3557	1453
710	3560	1447
711	3563	1441
712	3565	1435
713	3566	1428
714	3568	1422
715	3571	1416
716	3573	1410
717	3574	1403
718	3575	1397
719	3577	1391
720	3578	1384
721	3580	1378
722	3581	1372
723	3584	1366
724	3586	1360
725	3588	1354
726	3590	1348
727	3593	1342
728	3594	1336
729	3597	1330
730	3600	1324
731	3601	1318
732	3603	1312
733	3605	1306
734	3606	1300
735	3608	1294
736	3611	1288
737	3614	1283
738	3615	1277
739	3618	1271
740	3620	1265
741	3621	1259
742	3623	1253
743	3625	1247
744	3627	1241
745	3629	1235
746	3630	1229
747	3632	1223
748	3633	1217
749	3635	1211
750	3636	1205
751	3638	1200
752	3640	1194
753	3642	1188
754	3644	1182
755	3646	1176
756	3648	1171
757	3651	1165
758	3653	1160
759	3655	1154
760	3656	1148
761	3658	1142
762	3659	1136
763	3661	1130
764	3662	1125
765	3664	1119
766	3666	1113
767	3668	1108
768	3669	1102
769	3670	1096
770	3671	1090
771	3673	1084
772	3674	1079
773	3676	1073
774	3677	1067
775	3678	1061
776	3680	1056
777	3682	1050
778	3683	1045
779	3684	1039
780	3686	1033
781	3687	1028
782	3689	1022
783	3690	1016
784	3692	1011
785	3693	1005
786	3694	1000
787	3696	994
788	3697	988
789	3699	983
790	3700	977
791	3701	972
792	3703	966
793	3704	961
794	3706	955
795	3708	950
796	3710	945
797	3712	939
798	3713	934
799	3715	928
800	3717	923
801	3718	918
802	3720	912
803	3723	907
804	3725	902
805	3727	897
806	3729	891
807	3730	886
808	3732	881
809	3733	875
810	3735	870
811	3736	865
812	3738	859
813	3741	854
814	3743	849
815	3745	844
816	3748	839
817	3749	834
818	3752	829
819	3753	823
820	3755	818
821	3757	813
822	3758	808
823	3760	803
824	3762	798
825	3763	792
826	3764	787
827	3766	782
828	3767	777
829	3769	772
830	3771	766
831	3773	761
832	3775	756
833	3776	751
834	3777	746
835	3778	741
836	3780	736
837	3782	731
838	3784	726
839	3785	721
840	3790	716
841	3792	711
842	3793	706
843	3795	701
844	3796	696
845	3797	691
846	3799	686
847	3801	681
848	3802	676
849	3804	671
850	3806	666
851	3808	661
852	3809	656
853	3811	651
854	3812	646
855	3814	641
856	3816	636
857	3818	631
858	3820	627
859	3821	622
860	3823	617
861	3824	612
862	3826	607
863	3828	602
864	3829	597
865	3831	592
866	3833	588
867	3835	583
868	3837	578
869	3839	573
870	3841	568
871	3843	564
872	3845	559
873	3847	554
874	3849	549
875	3850	545
876	3853	540
877	3855	535
878	3856	530
879	3858	526
880	3860	521
881	3862	516
882	3863	511
883	3865	507
884	3867	502
885	3869	497
886	3871	493
887	3872	488
888	3874	483
889	3876	479
890	3878	474
891	3879	469
892	3881	465
893	3883	460
894	3885	455
895	3886	451
896	3887	446
897	3889	441
898	3891	437
899	3892	432
900	3894	427
901	3896	423
902	3897	418
903	3899	414
904	3900	409
905	3902	404
906	3903	400
907	3905	395
908	3907	391
909	3908	386
910	3910	381
911	3911	377
912	3913	372
913	3914	368
914	3916	363
915	3917	359
916	3919	354
917	3920	350
918	3922	345
919	3924	341
920	3925	336
921	3927	332
922	3928	327
923	3930	323
924	3931	318
925	3933	314
926	3936	310
927	3938	305
928	3940	301
929	3941	296
930	3943	292
931	3944	287
932	3946	283
933	3947	278
934	3950	274
935	3951	270
936	3953	265
937	3955	261
938	3956	257
939	3958	252
940	3959	248
941	3961	243
942	3962	239
943	3964	235
944	3967	230
945	3968	226
946	3970	222
947	3972	217
948	3973	213
949	3975	209
950	3977	204
951	3979	200
952	3980	196
953	3982	192
954	3985	187
955	3987	183
956	3990	179
957	3992	175
958	3993	170
959	3995	166
960	3997	162
961	3999	157
962	4001	153
963	4002	149
964	4005	145
965	4008	141
966	4009	136
967	4011	132
968	4013	128
969	4014	124
970	4016	119
971	4018	115
972	4020	111
973	4022	107
974	4024	103
975	4025	98
976	4027	94
977	4028	90
978	4030	86
979	4032	82
980	4034	78
981	4036	73
982	4038	69
983	4040	65
984	4041	61
985	4043	57
986	4045	53
987	4047	49
988	4049	45
989	4051	40
990	4053	36
991	4054	32
992	4056	28
993	4057	24
994	4059	20
995	4061	16
996	4063	12
997	4066	8
998	4068	4
999	4069	0
	13
997	4612	9
998	4614	4
999	4616	0
