iter	MultiClass
0	0.9705408701
1	0.884643447
2	0.796451132
3	0.7299876268
4	0.6673019384
5	0.6189852104
6	0.5752324174
7	0.5405613199
8	0.505614232
9	0.4685455307
10	0.4431785813
11	0.4218162722
12	0.3959630577
13	0.3705799373
14	0.3555843206
15	0.3333736789
16	0.3194160114
17	0.3024439932
18	0.2910251798
19	0.2761589666
20	0.2699975272
21	0.2531048496
22	0.2480990052
23	0.2420353817
24	0.2361248826
25	0.2295576728
26	0.2177330306
27	0.2087708958
28	0.2038626679
29	0.2013629423
30	0.186822131
31	0.1845722644
32	0.1800214239
33	0.1795227529
34	0.1792567283
35	0.1743419618
36	0.1730073178
37	0.1727365308
38	0.1722105367
39	0.1716446085
40	0.1714230508
41	0.1711414512
42	0.1699227222
43	0.1697594632
44	0.1695998865
45	0.1694691409
46	0.16845765
47	0.168322488
48	0.1679509215
49	0.1678198132
50	0.1675557513
51	0.1653973814
52	0.1649123842
53	0.1646943908
54	0.1644748838
55	0.1618649588
56	0.1581169878
57	0.1579852136
58	0.1576789609
59	0.1575455555
60	0.1571846696
61	0.156969344
62	0.1568622034
63	0.1527827677
64	0.1526718143
65	0.151427372
66	0.1513078047
67	0.1511834369
68	0.1509236302
69	0.1507539062
70	0.1506105998
71	0.1504609035
72	0.1502528868
73	0.1452137944
74	0.1449732028
75	0.1447300121
76	0.1445712999
77	0.1444390941
78	0.1442793482
79	0.1441256373
80	0.1439101161
81	0.1437667103
82	0.1436316909
83	0.1416631841
84	0.1415074927
85	0.1413009325
86	0.1389233218
87	0.1387181133
88	0.1385672711
89	0.1383742704
90	0.1381750317
91	0.138025632
92	0.1364468669
93	0.1362997268
94	0.1361393539
95	0.1359481215
96	0.1357965296
97	0.1356654406
98	0.1355283834
99	0.1353787823
100	0.1352077963
101	0.1350852211
102	0.1349542643
103	0.1348111115
104	0.1346830879
105	0.1345493601
106	0.1322995768
107	0.1321633004
108	0.1319795957
109	0.1318439387
110	0.1317040444
111	0.1296444807
112	0.1295080556
113	0.1238088621
114	0.1236670311
115	0.1235207875
116	0.1233800732
117	0.1232384777
118	0.1230635864
119	0.1229244742
120	0.1227970318
121	0.1226647383
122	0.1224970544
123	0.1223628079
124	0.1222271505
125	0.1220950282
126	0.1209676746
127	0.120835912
128	0.1206717852
129	0.1205351746
130	0.1204075185
131	0.1202935554
132	0.1201634297
133	0.1200381238
134	0.1199083151
135	0.1197895584
136	0.1196665954
137	0.1195325272
138	0.1194068684
139	0.1192743544
140	0.1191532773
141	0.1190308129
142	0.1189153032
143	0.1187903268
144	0.1186625999
145	0.1185492452
146	0.1184215738
147	0.1182968291
148	0.1181757586
149	0.1180284543
150	0.1179150682
151	0.1177971727
152	0.1176804113
153	0.1175579776
154	0.1174441551
155	0.1173327188
156	0.1172148941
157	0.1170994526
158	0.116988119
159	0.116867461
160	0.1167530701
161	0.1166332901
162	0.1165130742
163	0.1163956481
164	0.1162813143
165	0.1161587478
166	0.1160246572
167	0.115902828
168	0.1157905279
169	0.1156760904
170	0.1155639951
171	0.115455455
172	0.1153470607
173	0.1152195755
174	0.115110406
175	0.1150016539
176	0.1121372147
177	0.112023533
178	0.1103623836
179	0.110271119
180	0.1101718099
181	0.1100673566
182	0.109963795
183	0.1098547863
184	0.1097526361
185	0.1096509509
186	0.1095441842
187	0.1094335944
188	0.1093227859
189	0.1092132003
190	0.1091104062
191	0.1090096722
192	0.1088836604
193	0.1087884161
194	0.1086847839
195	0.1085771432
196	0.1082532561
197	0.1081546904
198	0.1080497129
199	0.1079472663
200	0.1078503787
